class_id,title,description
1,"'Serious incident' reported between Darfur truce monitors, Sudan army (AFP)","AFP - A ""serious incident"" has occurred between soldiers from the Sudanese army and members of a commission, led by Chad, monitoring a ceasefire in Sudan's Darfur region, corroborating sources said."
3,EADS Targets \$10 Billion in US Defense Revenue,"EADS is targeting \$10 billion in defense and security sales in the United States, its top managers said on Thursday, setting an ambitious goal for the European aerospace giant as it looks to crack the world #39;s richest defense market."
4,Companies Scramble to Deal With Spyware,The people who call Dell Inc. #39;s customer service line often have no idea why their computers are running so slow. The ones who call America Online Inc.
4,Intel prepares for next 20 years of chip making,"OCTOBER 25, 2004 (IDG NEWS SERVICE) - Intel Corp. pulled back the curtain Friday on some of its future research projects to continue making transistors smaller, faster and less power-hungry out as far as 2020."
1, #39;9-11 helper driven by anti-Israeli beliefs #39;,"A Moroccan accused of helping the Sept. 11 suicide hijackers was part of a group that raged against the United States  quot;because it defends Israel quot; and himself approved of Hitler #39;s extermination of the Jews, witnesses testified Wednesday. "
1,Move to license S African healers,"A bill to regulate South Africa's 200,000 traditional healers is to be debated in parliament."
4,Xbox owner sues over defective disk drives,LOS ANGELES - A video game fan upset over a failed disc drive in his Xbox video game console has sued Microsoft Corp. on behalf of all Xbox owners across the United States.
1,Japan demands apology from China,Japan was waiting Sunday for China to respond to claims that a nuclear-powered Chinese submarine entered Japanese waters. Japan #39;s Trade Minister Shoichi Nakagawa said Sunday 
4,Video games find their political voice,The net and video games are becoming essential tools for political activists.
3,"Delta to slash up to 7,000 jobs","Delta Air Lines unveiled changes yesterday that will remake its business, but officials warned that soaring costs still could land the nation #39;s third-largest carrier carrier in bankruptcy court."
3,Home Depot Quarterly Profit Rises (Reuters),"Reuters - Home Depot Inc. (HD.N), the world's\largest home improvement retailer, on Tuesday said quarterly\profit rose, topping estimates, as technology upgrades and\other store improvements helped boost sales."
2,Notre Dame Notebook,"In a game with 1,048 yards of total offense, it #39;s hard to believe either Notre Dame or Purdue would come up short in any department."
2,"Orioles Lose Sexson, Turn Attention to Burnett","In his true diva way, Pedro Martinez must surely be chuckling that his signing with the New York Mets has created chaos in baseball, or at least in the American "
2,Rossi:  #39;This title is the best #39;,"After spending four successful years at Honda, during which he won three consecutive 500cc and MotoGP titles, Valentino Rossi stunned the world by deciding to quit the might of HRC for the uncertainty of Yamaha."
2,Smoltz OKs New Two-Year Deal With Braves (AP),"AP - In a deal motivated by his recent return to the starting rotation, John Smoltz agreed Thursday to a new two-year contract with the Braves that increases the chance he will complete his career in Atlanta."
3,Gateway to repurchase stock from America Online,"Computer maker Gateway Inc. Tuesday said it has agreed to repurchase stock held by America Online Inc. for \$316 million. AOL, which is a unit of media and entertainment company Time Warner "
4,Apple opens iTunes Music Store in Canada,"After announcing on Wednesday that the Canadian iTunes Music Store had been postponed, Apple Computer Inc. has quietly launched the store."
1,Australian Official Travels to Iraq (AP),"AP - Defense Minister Robert Hill traveled to Iraq Saturday to meet with some of the 900 soldiers Australia has stationed there as part of the U.S.-led coalition, the ministry said."
4,ObjectsSearch Offers Open Source Search Results,"ObjectsSearch Offers Open Source Search Results\\Aiming to provide users with unbiased website ranking, ObjectsSearch.com has launched an open source search engine based on Nutch.org's search. ObjectsSearch looks to solve problems related to search result manipulation and information overload. ObjectsSearch claims that their open source approach provides an ""alternative to commercial ..."
2,Ventura Hangs Up Spikes, LOS ANGELES (Sports Network) - Los Angeles Dodgers third  baseman Robin Ventura has decided to call it quits following a  16-year Major League Baseball career.
2,MLB delays vote to move Expos,"CBC SPORTS ONLINE - Major League Baseball owners tabled Thursday #39;s vote to relocate the Montreal Expos to Washington. According to baseball commissioner Bud Selig, the owners will likely vote before the winter meetings on Dec. 6."
2,Pitch change has Bracewell upset,Five days of rain at the Gabba ground and forecasts of more have forced a pitch change for the deciding game Friday in the three-match limited-overs cricket series between Australia and New Zealand.
3,Thanksgiving Afternoon Is Expected To Be Dry,"The rains forecast for Polk County today should be gone by the time you sit down for your Thanksgiving Day feast. According to the National Weather Service in Ruskin, a line of thunderstorms "
4,Veritas to buy maker of e-mail storage tools,Veritas Software announced Tuesday that it plans to acquire KVault Software in a move designed to expand its e-mail storage and archiving offerings.
3,Kenya to get delayed loan from IMF,"Kenya has met all economic conditions set by the International Monetary Fund (IMF) which could result in the release of a delayed loan to the east African country, a visiting IMF mission announced here Friday."
2,UPATE 1-Late Drogba strike gives Chelsea 1-0 win at Boro,Didier Drogba struck nine minutes from time to give Chelsea a 1-0 win at Middlesbrough on Saturday and prevent a third successive goalless Premier League draw for the Londoners.
4,Asia-Pac a key software market: Ballmer,MICROSOFT chief executive officer Steve Ballmer on Thursday stressed the importance of the Asia-Pacific region to the world #39;s top software maker when he was addressing 
1,Seven Die in Clashes Over Ousted Afghan Governor," HERAT, Afghanistan (Reuters) - Seven supporters of an  ousted Afghan governor were killed and 20 were wounded on  Sunday in clashes with police and U.S. troops after crowds  torched U.N. offices, medics and witnesses said."
3,After the Bell: Shares McAfee on the Rise," NEW YORK (Reuters) - Shares of software maker McAfee Inc  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MFE.N target=/stocks/quickinfo/fullquote""&gt;MFE.N&lt;/A&gt;. were on the rise in extended trading on Thursday after  it reported third-quarter financial news, and raised its  revenue projection for the fourth quarter."
2,Dolphins appear interested in LSU #39;s Saban,"LSU coach Nick Saban has talked to the Miami Dolphins about their vacant head coaching position. In a statement issued by LSU on Wednesday, Saban described the talks as  quot;a preliminary conversation with the "
4,Senate Panel to Vote on Digital TV Bill,A critical Senate committee plans to vote this week on legislation that would require broadcasters to abandon their current analog TV channels and switch solely to digital transmissions by 2009.
3,Dow weakness prevails,"Technology rise loses steam by close. Weakness in blue chips returns. Rising oil prices weigh. By Alexandra Twin, CNN/Money staff writer."
4,MSN Search Beta Set to Launch,"Microsoft Corp. #39;s MSN division on Thursday will launch a public beta of its Web search technology, according to sources familiar with the plans."
1,Report: Man in Jakarta bombing arrested,Indonesian media reports said the man alleged to be the field coordinator behind the bombing of the Australian embassy in Jakarta has been arrested.
2,Wakefield Tabbed for Possible Game 7 Start (AP),"AP - Tim Wakefield was still slated to start Game 7 of the AL championship series Wednesday night for the Boston Red Sox, assuming they don't need the knuckleballer to get there."
2,Athletics as artistry,"From the Latin, the Olympic motto is:  quot;Faster. Higher. Stronger. quot; It says nothing about  quot;Beauty. Harmony. Emotion. quot; Yet those values, promoted by the International Gymnastics Federation, help explain the scandal "
4,Experts deny ET signal report,Scientists move swiftly to quash reports that a possible contact has been received from  extraterrestrial life.
2,Russians Rule Again,"Svetlana Kuznetsova overwhelms Elena Dementieva 6-3, 7-5, on Saturday night in the U.S. Open final, becoming the third Russian woman to win a major this season."
3,Apple Up After Analysts Raise Target,"Apple Computer Inc. (AAPL.O: Quote, Profile, Research) shares jumped as much as 16 percent on Monday, to their highest level in more than 4 years, after a Wall Street analyst nearly doubled his price target on the stock."
1,"At ancient site, a very modern debate -- over traffic","SALISBURY, England -- Whoever built Stonehenge, the 5,000-year-old circle of megaliths that towers over green fields in southern England and lures a million visitors a year, could not have planned for the automobile."
2,Stewart and United get jump in playoff,"After going without a goal in Major League Soccer postseason play, Earnie Stewart finally delivered for DC United last night against the MetroStars in Game 1 of the Eastern Conference semifinals."
2,Megson Reign Comes to End,Gary Megsons stormy four-year reign as West Bromwich Albion manager ended in predictable acrimony tonight when the club announced it had relieved him of his duties with immediate effect.
1,Security tight as Karzai #39;s inauguration looms,Security is extremely tight around the Afghan capital as Hamid Karzai prepares to be sworn in as the country #39;s first popularly elected president.
3,Stocks Open Higher as Oil Prices Ease," NEW YORK (Reuters) - U.S. stocks opened higher on Friday,  as oil prices retreated and tech stocks showed strength on the  opening day of the fourth quarter."
1,"Suicide bomber hits Kabul's fabled Chicken Street, 3 peacekeepers wounded (AFP)","AFP - A suicide bomber blew himself up in Kabul's famous  quot;Chicken Street quot; shopping haunt, wounding up to seven people, including three foreign peacekeepers, in the boldest attack since the peaceful October 9 presidential election."
4,Time to move beyond Explorer,"So quit fighting. Switch to Firefox, in a newly released 1.0 version. If you already are using Mozilla, a Web browser built using the same architecture as Firefox, then you know most of those benefits of switching."
2,Barcelona to take on Celtic,"Join Group F leaders Barcelona take on Celtic today, knowing that a draw and a point will be enough for them to book their place in the last 16 of the Champions League."
2,Bidding on  #39;The Curse #39; ends without buyer,"The contract that sent slugger Babe Ruth to the New York Yankees and started the legendary curse on the Red Sox that kept them from winning the World Series, has failed to sell on an Internet auction site, where bids had topped \$1 "
4,Week in review: Intel looks ahead,Intel took the stage to talk up its plans for dual-core chips and wireless gadgetry and to sketch out  quot;the Internet of tomorrow.
1,Belarus Referendum Backs Third Term for Leader Lukashenko &lt;b&gt;...&lt;/b&gt;,"Belarussian President Alexander Lukashenko, accused in the west of being a tyrant, won overwhelming approval in a referendum to run for a third term in office."
3,Wall Street Fears an Undecided Election," NEW YORK (Reuters) - The doubts, the uncertainty, the  mud-slinging that have kept investors indecisive all year are  set to end one week from Tuesday when U.S. voters go to the  polls."
3,Amazon launching DVD rentals,"The Amazon.co.uk is launching a DVD rental service, the online retailer #39;s first foray into a market that was pioneered by US-based Netflix."
3,FDA Defends Its Handling of Vioxx Review,"Responding to public criticism of its handling of the controversial arthritis drug Vioxx, the US Food and Drug Administration on Wednesday defended its oversight of the monitoring process and said it acted in the best interests of the public #39;s safety."
1,Geoffrey Rush #39;s doubts about Sellers,"AUSTRALIA As the Oct. 9 election nears, polls show the rivals - the coalition led by Prime Minister John Howard, and Mark Latham #39;s Labor party -eck-and-neck."
1,"Car Bomb Explodes Outside US Base, At Least 16 People Reported &lt;b&gt;...&lt;/b&gt;","_ A suicide car bomber set off an explosion Saturday at a police station near a US Marine base in western Iraq, killing at least 16 policemen and wounding 40 other people, officials said."
1,Davao bombing suspects arrested,\Two men suspected of planting bombs in the southern Philippines city of Davao last year are arrested.
4,Google Has A New One for the Labs - Google Suggest,"Google Has A New One for the Labs - Google Suggest\\Google's Labs has popped out a new beta - Google Suggest. Google Suggest looks like the regular Google search, except as you type in keywords Google -- surprise! -- tries to guess what you could be typing. The really nifty ..."
